player_id,date,opposition_code,opposition_full,md_plus_code,md_minus_code,season,distance,distance_over_21,distance_over_24,distance_over_27,accel_decel_over_2_5,accel_decel_over_3_5,accel_decel_over_4_5,day_duration,peak_speed,hr_zone_1_hms,hr_zone_2_hms,hr_zone_3_hms,hr_zone_4_hms,hr_zone_5_hms
1,02/08/2022,,,10,-4,2022/2023,4524.085076,89.27853044,85.69031816,61.6343353,119.1081009,32.63692816,8.557442749,76.24236931,30.7559,00:03:40,00:17:29,00:19:20,00:11:23,00:00:02
1,03/08/2022,,,10,-3,2022/2023,5264.645855,245.861691,91.34814267,20.21058834,45.97401948,6.309729836,3.095989752,65.21783048,28.67495,00:06:44,00:16:40,00:15:35,00:06:08,00:00:01
1,04/08/2022,,,10,-2,2022/2023,6886.542272,199.1802595,84.63473481,22.58547047,97.48851155,24.40018007,3.82586928,105.139759,29.2172,00:17:29,00:37:09,00:23:49,00:06:30,00:00:02
1,05/08/2022,,,10,-1,2022/2023,2622.552016,68.3893209,11.795402,6.360193345,43.75026526,14.64292521,2.189601741,64.58843385,28.703,00:07:34,00:15:51,00:07:31,00:01:51,00:00:00
1,06/08/2022,EVE,Everton,0,0,2022/2023,5654.028319,447.0905452,164.5766708,82.74642973,122.5681273,49.74844568,22.20173654,46.04835304,30.29811976,00:01:09,00:01:04,00:11:34,00:13:15,00:02:30
1,07/08/2022,,,1,-7,2022/2023,7379.419445,230.4563784,76.86554786,36.82659852,127.8810687,41.20852149,13.27639123,116.656904,30.8216,00:15:52,00:32:25,00:16:39,00:05:43,00:00:04
1,08/08/2022,,,2,-6,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1,09/08/2022,,,3,-5,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1,10/08/2022,,,4,-4,2022/2023,6388.152035,461.7284954,209.4731691,76.4638338,120.4362528,49.55272992,16.95432555,94.99376919,31.51548,00:09:10,00:22:24,00:23:57,00:10:30,00:00:10
1,11/08/2022,,,5,-3,2022/2023,3727.993084,181.5062074,66.49044126,20.46043373,103.3060547,50.74886844,15.71521045,60.25599587,28.85883,00:05:06,00:14:19,00:13:49,00:10:07,00:00:09
1,12/08/2022,,,6,-2,2022/2023,4205.273933,88.71367593,33.48532178,26.5021093,79.64664508,20.82291587,4.826601397,63.96877816,31.1003,00:04:49,00:17:28,00:16:26,00:06:26,00:00:02
1,13/08/2022,,,7,-1,2022/2023,2821.360564,66.08966944,0.0,2.315383909,78.2613081,22.64746273,5.648574727,54.75395802,26.7007,00:03:52,00:15:19,00:15:53,00:07:26,00:00:04
1,14/08/2022,TOT,Tottenham Hotspur,0,0,2022/2023,10190.6242,407.1498307,202.1915331,95.73328361,193.1465208,73.31027854,22.63945216,96.40421297,32.322,00:06:47,00:19:45,00:12:49,00:11:21,00:00:12
1,15/08/2022,,,1,-6,2022/2023,3507.646465,0.0,18.95385211,9.431943018,120.7586697,36.30362083,10.02728819,62.97166806,28.2309,00:05:20,00:12:52,00:17:30,00:10:21,00:00:31
1,16/08/2022,,,2,-5,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1,17/08/2022,,,3,-4,2022/2023,4746.079919,43.05453292,0.0,0.0,98.62359037,22.81968352,5.78648604,66.90251893,22.543,00:06:52,00:18:45,00:13:40,00:06:23,00:00:04
1,18/08/2022,,,4,-3,2022/2023,4995.294095,179.0132661,75.69530728,49.11336827,137.6739085,40.03787766,11.27466661,79.10967238,30.6657,00:02:20,00:10:20,00:18:43,00:22:49,00:00:00
