player_id,sessionDate,seasonName,metric,category,value
1,02/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,02/07/2023,2023/2024,bio_baseline_composite,bio,
1,02/07/2023,2023/2024,emboss_baseline_score,total,
1,02/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,02/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,02/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,02/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,02/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,02/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,02/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.0
1,02/07/2023,2023/2024,soreness_baseline_composite,soreness,
1,02/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.0
1,02/07/2023,2023/2024,subjective_baseline_composite,subjective,
1,03/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,03/07/2023,2023/2024,bio_baseline_composite,bio,
1,03/07/2023,2023/2024,emboss_baseline_score,total,
1,03/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,03/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,03/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,03/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,03/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,03/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,03/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.0
1,03/07/2023,2023/2024,soreness_baseline_composite,soreness,
1,03/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.0
1,03/07/2023,2023/2024,subjective_baseline_composite,subjective,
1,04/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,04/07/2023,2023/2024,bio_baseline_composite,bio,
1,04/07/2023,2023/2024,emboss_baseline_score,total,0.0
1,04/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,04/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,04/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,04/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,04/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,04/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,04/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
1,04/07/2023,2023/2024,soreness_baseline_composite,soreness,0.0
1,04/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.0
1,04/07/2023,2023/2024,subjective_baseline_composite,subjective,
1,05/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,05/07/2023,2023/2024,bio_baseline_composite,bio,
1,05/07/2023,2023/2024,emboss_baseline_score,total,0.0
1,05/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,05/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,05/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,05/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,05/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,05/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,05/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.064516129
1,05/07/2023,2023/2024,soreness_baseline_composite,soreness,0.0
1,05/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.010752688
1,05/07/2023,2023/2024,subjective_baseline_composite,subjective,0.0
1,06/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,06/07/2023,2023/2024,bio_baseline_composite,bio,
1,06/07/2023,2023/2024,emboss_baseline_score,total,0.0
1,06/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,06/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,06/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,06/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,06/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,06/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,06/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
1,06/07/2023,2023/2024,soreness_baseline_composite,soreness,0.0
1,06/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.075268817
1,06/07/2023,2023/2024,subjective_baseline_composite,subjective,0.0
1,07/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,07/07/2023,2023/2024,bio_baseline_composite,bio,
1,07/07/2023,2023/2024,emboss_baseline_score,total,-0.18
1,07/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,07/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,07/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,07/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,07/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,07/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,07/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
1,07/07/2023,2023/2024,soreness_baseline_composite,soreness,0.0
1,07/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.064516129
1,07/07/2023,2023/2024,subjective_baseline_composite,subjective,-0.193333333
1,08/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,08/07/2023,2023/2024,bio_baseline_composite,bio,
1,08/07/2023,2023/2024,emboss_baseline_score,total,0.0
1,08/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,08/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,08/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,08/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,08/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,08/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,08/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.2105263157894736
1,08/07/2023,2023/2024,soreness_baseline_composite,soreness,0.0
1,08/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.1052631578947368
1,08/07/2023,2023/2024,subjective_baseline_composite,subjective,0.0
1,09/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,09/07/2023,2023/2024,bio_baseline_composite,bio,
1,09/07/2023,2023/2024,emboss_baseline_score,total,
1,09/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,09/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,09/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,09/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,09/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,09/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,09/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.0
1,09/07/2023,2023/2024,soreness_baseline_composite,soreness,
1,09/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.0
1,09/07/2023,2023/2024,subjective_baseline_composite,subjective,
1,10/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,10/07/2023,2023/2024,bio_baseline_composite,bio,
1,10/07/2023,2023/2024,emboss_baseline_score,total,0.1966666666666666
1,10/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,10/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,10/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,10/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,10/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,10/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,10/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
1,10/07/2023,2023/2024,soreness_baseline_composite,soreness,0.0
1,10/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.064516129
1,10/07/2023,2023/2024,subjective_baseline_composite,subjective,0.1966666666666666
1,11/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,11/07/2023,2023/2024,bio_baseline_composite,bio,
1,11/07/2023,2023/2024,emboss_baseline_score,total,0.0
1,11/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,11/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,11/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,11/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
1,11/07/2023,2023/2024,sleep_baseline_completeness,sleep,0.0
1,11/07/2023,2023/2024,sleep_baseline_composite,sleep,
1,11/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
1,11/07/2023,2023/2024,soreness_baseline_composite,soreness,0.0
1,11/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.053763441
1,11/07/2023,2023/2024,subjective_baseline_composite,subjective,0.0
1,12/07/2023,2023/2024,bio_baseline_completeness,bio,0.0
1,12/07/2023,2023/2024,bio_baseline_composite,bio,
1,12/07/2023,2023/2024,emboss_baseline_score,total,0.1428571428571428
1,12/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0
1,12/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
1,12/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0
1,12/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
